Category,Case number,Crime date and time,Report date,Location,Incident Description,Residential occurrence,Disposition
Harassment,CSA20180794,05/21/2018 - 6:54pm,05/21/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20180793,05/21/2018 - 1:22pm,05/21/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20180792,05/21/2018 - 7:45pm,05/21/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20180791,08/24/2017 - 8:00pm,05/21/2018,340 HILLTOP AVENUE - JOHNSON HALL,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Harassment,CSA20180790,08/29/2017 - 2:15pm,05/21/2018,550 SOUTH LIMESTONE STREET - GATTON BUILDING,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20180789,05/21/2018 - 8:40pm,05/21/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Criminal Mischief,CSA20180788,08/26/2017 - 10:30pm,05/21/2018,650 WOODLAND AVENUE - WOODLAND GLEN II,CRIMINAL MISCHIEF,Yes,Closed - CSA
Criminal Mischief,CSA20180787,09/01/2017 - 12:00am,05/21/2018,361 HUGUELET DRIVE - DONOVAN HALL,CRIMINAL MISCHIEF,Yes,Closed - CSA
Theft,20180918,05/01/2018 - 12:00am,05/20/2018,"720 WOODLAND AVENUE - CHELLGREN HALL, BIKE RACK",THEFT BY UNLAWFUL TAKING BICYCLES U/$500,No,Closed
Harassing Communications,20180919,05/20/2018 - 12:25am,05/20/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,HARASSING COMMUNICATIONS,No,Closed
DUI,20180916,05/20/2018 - 4:09am,05/20/2018,SOUTH UPPER STREET/BOLIVAR STREET,OPERATE MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC..08 AGGRAVATED CIRCUMSTANCES 1ST OFFENSE; NO TAIL LAMPS; LICENSE TO BE IN POSSESSION; GIVING OFFICER FALSE IDENTIFYING INFORMATION,No,Cleared By Arrest
Harassment,CSA20180786,05/20/2018 - 5:56pm,05/20/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Assault,CSA20180785,05/20/2018 - 3:27pm,05/20/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20180784,05/20/2018 - 2:02pm,05/20/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Assault,CSA20180783,05/20/2018 - 12:51pm,05/20/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Harassment,CSA20180774,05/20/2018 - 7:55pm,05/20/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Terroristic Threatening,CSA20180773,05/20/2018 - 12:34pm,05/20/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING,No,Closed - CSA
Terroristic Threatening,CSA20180772,05/20/2018 - 9:49am,05/20/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING; CRIMINAL MISCHIEF,No,Closed - CSA
Harassment,CSA20180770,05/20/2018 - 2:07pm,05/20/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20180766,05/20/2018 - 7:30pm,05/20/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Criminal Mischief,20180921,05/20/2018 - 5:00pm,05/20/2018,800 ROSE STREET - CHANDLER HOSPITAL,CRIMINAL MISCHIEF 3RD DEGREE,No,Closed - CSA
Theft,20180914,05/19/2018 - 3:15pm,05/19/2018,PARKING LOT IN FRONT OF WOODLAND GLEN II,"THEFT BY UNLAWFUL TAKING FROM VEHICLE $500 OR MORE BUT U/$10,000; CRIMINAL MISCHIEF 3RD DEGREE",No,Open
Criminal Mischief,20180913,05/19/2018 - 3:30pm,05/19/2018,PARKING LOT ACROSS FROM WOODLAND GLEN II,THEFT BY UNLAWFUL TAKING CONTENTS FROM VEHICLE UNDER $500; CRIMINAL MISCHIEF 3RD DEGREE,No,Open
Theft,20180912,05/19/2018 - 1:30pm,05/19/2018,COMPLEX DRIVE PARKING - IN FRONT OF JOHNSON CENTER,THEFT BY UNLAWFUL TAKING CONTENTS FROM VEHICLE UNDER $500; CRIMINAL MISCHIEF 3RD DEGREE,No,Open
Theft,20180910,05/18/2018 - 7:00pm,05/19/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING FROM BUILDING U/$500,No,Open
Assault,20180915,05/19/2018 - 11:15pm,05/19/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,"ASSAULT, 4TH DEGREE NO VISIBLE INJURY; ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS; CRIMINAL TRESPASSING 3RD DEGREE",No,Cleared By Arrest
Terroristic Threatening,20180911,05/19/2018 - 4:14pm,05/19/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,"TERRORISTIC THREATENING, 3RD DEGREE; DISORDERLY CONDUCT, 2ND DEGREE",No,Open
Drug Violations,20180917,05/19/2018 - 12:57am,05/19/2018,WOODLAND AVENUE/HILLTOP AVENUE,POSSESSION OF MARIJUANA,No,Closed
Assault,CSA20180782,05/19/2018 - 2:55pm,05/19/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Assault,CSA20180781,05/18/2018 - 12:37pm,05/19/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Assault,CSA20180780,05/19/2018 - 12:33pm,05/19/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20180779,05/19/2018 - 12:08pm,05/19/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Assault,CSA20180777,05/19/2018 - 9:30am,05/19/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20180778,05/19/2018 - 9:44am,05/19/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20180769,05/19/2018 - 4:03pm,05/19/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20180768,05/19/2018 - 3:11am,05/19/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20180765,05/19/2018 - 10:00pm,05/19/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Disorderly Conduct,20180900,05/18/2018 - 1:28am,05/18/2018,SOUTH LIMESTONE STREET/CONN TERRACE,"DISORDERLY CONDUCT, 2ND DEGREE; CRIMINAL TRESPASSING 3RD DEGREE; MENACING",No,Cleared By Arrest
Drug Violations,20180899,05/18/2018 - 12:18am,05/18/2018,PATTERSON DRIVE - BEHIND FINE ARTS BUILDING,DRUG PARAPHERNALIA-BUY/POSSESS,No,Open
Theft,20180901,05/17/2018 - 11:00pm,05/18/2018,CHRYSALIS COURT,"THEFT BY UNLAWFUL TAKING CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000",No,Closed
Theft,LPD201800090364,04/17/2018 - 12:00pm,05/18/2018,160 AVENUE OF CHAMPIONS - BILL GATTON STUDENT CENTER,"THEFT BY UNLAWFUL TAKING ALL OTHERS OVER $500 BUT U/$10,000",No,Closed - Lexington Police Report
Theft,20180907,05/17/2018 - 12:00pm,05/18/2018,401 HILLTOP AVENUE - WT YOUNG LIBRARY,THEFT BY UNLAWFUL TAKING FROM BUILDING U/$500,No,Closed
Assault,CSA20180776,05/18/2018 - 12:27pm,05/18/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20180775,05/18/2018 - 9:25am,05/18/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Terroristic Threatening,CSA20180771,05/18/2018 - 11:55am,05/18/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING,No,Closed - CSA
Harassment,CSA20180767,05/18/2018 - 3:27pm,05/18/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Theft,20180922,05/18/2018 - 2:00pm,05/18/2018,750 ROSE STREET - ROACH BUILDING,THEFT BY UNLAWFUL TAKING FROM BUILDING U/$500,No,Open
Disorderly Conduct,20180892,05/17/2018 - 2:15am,05/17/2018,125 EAST MAXWELL STREET - NEAR GOOD SAMARITAN MEDICAL OFFIC BUILDING,"FLEEING OR EVADING POLICE, 2ND DEGREE ON FOOT; DISORDERLY CONDUCT, 2ND DEGREE; ALCOHOL INTOX IN A PUBLIC PLACE 1ST AND 2ND OFFENSE",No,Cleared By Arrest
Assault,CSA20180758,05/17/2018 - 6:24am,05/17/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Drug Violations,201811778,05/17/2018 - 10:20am,05/17/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,POSSESSION OF CONTROLLED SUBSTANCE,No,Closed
Criminal Mischief,20180895,05/16/2018 - 12:00pm,05/17/2018,145 GRAHAM AVENUE - ASTECC BUILDING,THEFT BY UNLAWFUL TAKING BICYCLES U/$500; CRIMINAL MISCHIEF 3RD DEGREE,No,Closed
Theft,20180893,01/01/2018 - 8:00am,05/17/2018,"740 SOUTH LIMESTONE STREET - EAR, NOSE, AND THROAT CLINIC",THEFT BY UNLAWFUL TAKING FROM BUILDING U/$500,No,Closed
Criminal Mischief,20180896,05/17/2018 - 7:00am,05/17/2018,1540 UNIVERSITY DRIVE - ORANGE PARKING LOT,CRIMINAL MISCHIEF 2ND DEGREE,No,Closed
Alcohol Intoxication,20180897,05/17/2018 - 6:43pm,05/17/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,No,Closed
Harassment,CSA20180763,05/17/2018 - 5:22pm,05/17/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20180762,05/17/2018 - 5:26pm,05/17/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20180760,05/17/2018 - 7:37am,05/17/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20180761,05/17/2018 - 7:43am,05/17/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20180759,05/17/2018 - 6:43am,05/17/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Criminal Mischief,CSA20180764,08/23/2017 - 3:00pm,05/17/2018,251 SCOTT STREET - DICKEY HALL,CRIMINAL MISCHIEF,No,Closed - CSA
Harassment,201811827,05/17/2018 - 3:08pm,05/17/2018,750 ROSE STREET - ROACH BUILDING,HARASSMENT-NO PHYSICAL CONTACT,No,Closed
Criminal Mischief,CSA20180739,05/16/2018 - 5:50am,05/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF,No,Closed - CSA
Harassment,20180890,05/16/2018 - 8:35am,05/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed
Harassment,CSA20180757,05/16/2018 - 12:07pm,05/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20180756,05/16/2018 - 11:42am,05/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Harassment,CSA20180755,05/16/2018 - 11:39am,05/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20180754,05/16/2018 - 10:59am,05/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Assault,CSA20180753,05/16/2018 - 9:24am,05/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Harassment,CSA20180752,05/16/2018 - 8:56am,05/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Assault,CSA20180751,05/16/2018 - 8:45am,05/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Assault,CSA20180750,05/16/2018 - 8:43am,05/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20180749,05/16/2018 - 8:15am,05/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20180748,05/16/2018 - 7:30pm,05/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Terroristic Threatening,CSA20180747,03/28/2018 - 11:25pm,05/16/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,TERRORISTIC THREATENING,No,Closed - CSA
Harassment,CSA20180746,05/09/2018 - 12:00am,05/16/2018,740 WOODLAND AVENUE - SMITH HALL,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Harassment,CSA20180745,05/16/2018 - 5:48pm,05/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Criminal Mischief,CSA20180736,05/15/2018 - 1:06am,05/15/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF,No,Closed - CSA
Assault,CSA20180732,05/15/2018 - 4:50am,05/15/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Theft,20180884,05/15/2018 - 6:50am,05/15/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"THEFT BY UNLAWFUL TAKING BICYCLES $500 OR MORE BUT U/$10,000",No,Open
Theft,20180887,05/15/2018 - 11:00am,05/15/2018,ADMINISTRATION DRIVE - WEST SIDE BIKE RACK,THEFT BY UNLAWFUL TAKING BICYCLES U/$500,No,Closed
Theft,201811672,05/15/2018 - 2:00pm,05/15/2018,"800 ROSE STREET - COLLEGE OF DENTRISTRY, BACK COURTYARD BIKE RACKS",THEFT BY UNLAWFUL TAKING BICYCLES,No,Closed
Theft,20180882,05/15/2018 - 11:00am,05/15/2018,"830 SOUTH LIMESTONE STREET - UK HEALTH SERVICES, BIKE RACK",THEFT BY UNLAWFUL TAKING ALL OTHERS U/$500,No,Closed
Drug Violations,20180883,05/15/2018 - 5:15pm,05/15/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,DRUG PARAPHERNALIA-BUY/POSSESS,No,Closed
Theft,LPD201800087619,05/10/2018 - 9:30am,05/15/2018,"401 HILLTOP AVENUE - WT YOUNG LIBRARY, BIKE RACK",THEFT BY UNLAWFUL TAKING BICYCLE,No,Closed - Lexington Police Report
Assault,CSA20180741,05/15/2018 - 6:36pm,05/15/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20180742,05/15/2018 - 3:26pm,05/15/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Assault,CSA20180743,05/15/2018 - 8:20am,05/15/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20180740,05/15/2018 - 7:45am,05/15/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X3,No,Closed - CSA
Terroristic Threatening,CSA20180738,05/15/2018 - 8:50am,05/15/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING,No,Closed - CSA
Harassment,CSA20180737,05/15/2018 - 6:04pm,05/15/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20180716,05/14/2018 - 6:30am,05/14/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Criminal Mischief,CSA20180713,05/14/2018 - 5:35am,05/14/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF,No,Closed - CSA
Harassment,CSA20180712,05/14/2018 - 5:02am,05/14/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Theft,20180867,05/13/2018 - 12:00pm,05/14/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING ALL OTHERS U/$500,No,Closed
Theft,20180868,05/11/2018 - 5:00pm,05/14/2018,565 ROSE STREET - BOWMAN HALL,THEFT BY UNLAWFUL TAKING FROM BUILDING U/$500,No,Closed
Harassment,LPD201800086983,05/14/2018 - 8:00am,05/14/2018,361 HUGUELET DRIVE - DONOVAN HALL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,Yes,Closed - Lexington Police Report
Harassment,CSA20180735,05/14/2018 - 12:40pm,05/14/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20180734,05/14/2018 - 11:41am,05/14/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20180733,05/14/2018 - 10:10am,05/14/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20180731,05/14/2018 - 5:05pm,05/14/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Sex Offenses,20180861,05/13/2018 - 5:26pm,05/13/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,SEXUAL ABUSE - 3RD DEGREE,No,Open
Theft,20180860,05/13/2018 - 4:00am,05/13/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING CONTENTS FROM VEHICLE UNDER $500,No,Closed
Harassment,CSA20180723,05/13/2018 - 4:30pm,05/13/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20180722,05/13/2018 - 1:50pm,05/13/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Harassment,CSA20180721,05/13/2018 - 2:35pm,05/13/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20180720,05/13/2018 - 2:10pm,05/13/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20180719,05/13/2018 - 10:27am,05/13/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT--NO INJURY,No,Closed - CSA
Harassment,CSA20180718,05/13/2018 - 8:30am,05/13/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Harassment,CSA20180715,05/13/2018 - 11:43pm,05/13/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Assault,20180862,05/13/2018 - 10:15pm,05/13/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,ASSAULT 4TH DEGREE MINOR INJURY; CRIMINAL MISCHIEF 3RD DEGREE,No,Open
Criminal Mischief,20180863,05/11/2018 - 11:00pm,05/13/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,CRIMINAL MISCHIEF 1ST DEGREE,No,Open
Theft,LPD201800086406,05/11/2018 - 5:00pm,05/13/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,THEFT OF MOTOR VEHICLE REGISTRATION PLATE,No,Closed - Lexington Police Report
DUI,20180855,05/12/2018 - 2:50am,05/12/2018,SOUTH UPPER STREET PRIOR TO BOLIVAR STREET,OPERATE MOTOR VEHICLE U/INFLUENCE ALCOHOL/DRUGS/ETC..08 AGG CIRCUM 1ST OFF; CARELESS DRIVING,No,Cleared By Arrest
Assault,CSA20180717,05/12/2018 - 11:59am,05/12/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Theft,20180856,05/11/2018 - 6:30pm,05/12/2018,330 SOUTH LIMESTONE STREET - GOOD SAMARITAN PARKING STRUCTURE,THEFT OF MOTOR VEHICLE REGISTRATION PLATE,No,Open
Drug Violations,201811315,05/11/2018 - 5:40am,05/11/2018,800 ROSE STREET - CHANDLER HOSPITAL,POSSESSION OF CONTROLLED SUBSTANCE,No,Closed
Theft,20180854,05/09/2018 - 12:00pm,05/11/2018,800 ROSE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING FROM BUILDING U/$500,No,Open
Disorderly Conduct,20180847,05/11/2018 - 1:26am,05/11/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,"DISORDERLY CONDUCT, 2ND DEGREE; PUBLIC INTOXICATION - CONTROL  SUBSTANCE (EXCLUDES ALCOHOL)",No,Cleared By Arrest
Disorderly Conduct,20180849,05/11/2018 - 6:25am,05/11/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"DISORDERLY CONDUCT, 2ND DEGREE; CRIMINAL TRESPASSING, 2ND DEGREE",No,Cleared By Arrest
Drug Violations,201811342,05/11/2018 - 4:15pm,05/11/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,POSSESSION OF NARCOTICS,No,Closed
Assault,CSA20180730,05/11/2018 - 5:04pm,05/11/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Assault,CSA20180729,05/11/2018 - 10:51am,05/11/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20180728,05/11/2018 - 7:43am,05/11/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20180727,05/11/2018 - 7:13am,05/11/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Sex Offenses,CSA20180714,05/11/2018 - 11:43am,05/11/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,SEXUAL ABUSE,No,Closed - CSA
Assault,20180850,05/07/2018 - 8:00am,05/11/2018,800 ROSE STREET - CHANDLER HOSPITAL,"ASSAULT, 4TH DEGREE DOMESTIC VIOLENCE MINOR INJURY",No,Open
Theft,CSA20180744,05/11/2018 - 8:30am,05/11/2018,"EDUCATION ABROAD LOCATION - EUROSTARS BOOK HOTEL, SCHWANTHALER STREET 44, 80336 MUNICH, GERMANY",THEFT BY UNLAWFUL TAKING,No,Closed - CSA
Drug Violations,201811253,05/10/2018 - 12:30pm,05/10/2018,800 ROSE STREET - CHANDLER HOSPITAL,POSSESSION OF MARIJUANA,No,Closed
Theft,20180843,05/09/2018 - 7:00am,05/10/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING BICYCLES U/$500,No,Closed
Theft,20180844,05/10/2018 - 3:20pm,05/10/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT OF PROPERTY MISLAID OR DELIVER BY MISTAKE,No,Closed
Harassment,CSA20180726,05/10/2018 - 3:38pm,05/10/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20180724,05/10/2018 - 7:13am,05/10/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20180725,05/10/2018 - 7:13am,05/10/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Sex Offenses,20180842,03/10/2018 - 12:01am,05/10/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,RAPE 2ND DEGREE-NO FORCE,No,Open
Theft,20180870,05/10/2018 - 9:00am,05/10/2018,"401 HILLTOP AVENUE - WT YOUNG LIBRARY, BIKE RACK","THEFT BY UNLAWFUL TAKING BICYCLES $500 OR MORE BUT U/$10,000",No,Closed
Assault,CSA20180707,05/09/2018 - 12:40am,05/09/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
All Other Offenses,LPD201800083790,05/09/2018 - 4:16pm,05/09/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,VIOLATION OF KENTUCKY EMERGENCY PROTECTIVE/DOMESTIC VIOLENCE ORDER,No,Closed - Lexington Police Report
Drug Violations,201811200,05/09/2018 - 6:50pm,05/09/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,POSSESSION OF MARIJUANA,No,Closed
Drug Violations,201811174,05/09/2018 - 9:43am,05/09/2018,326 SOUTH MARTIN LUTHER KING BOULEVARD- BLAZER HALL,POSSESSION OF MARIJUANA; DRUG PARAPHERNALIA,Yes,Closed - CSA
