Category,Case number,Crime date and time,Report date,Location,Incident Description,Residential occurrence,Disposition
Alcohol Intoxication,201910260049,10/26/2019 - 6:23pm,10/26/2019,720 WOODLAND AVENUE - CHELLGREN HALL,ALCOHOL INTOXICATION; PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL,Yes,Closed - CSA
All Other Offenses,CSA20191211,10/26/2019 - 12:00am,10/26/2019,705 SPORTS CENTER DRIVE - INGLES HALL,STALKING,Yes,Closed - CSA
Harassment,CSA20191212,10/26/2019 - 12:00am,10/26/2019,705 SPORTS CENTER DRIVE - INGLES HALL,HARASSMENT-PHYSICAL CONTACT-NO INJURY (DATING VIOLENCE) X3,Yes,Closed - CSA
Assault,CSA20191195,10/26/2019 - 9:53pm,10/26/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Harassment,CSA20191194,10/26/2019 - 7:18pm,10/26/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Alcohol Intoxication,201910250075,10/25/2019 - 11:22pm,10/25/2019,"470 ROSE LANE - ALPHA GAMMA RHO FRATERNITY, OUTSIDE",ALCOHOL INTOXICATION,No,Closed
Assault,201910250036,10/25/2019 - 12:35pm,10/25/2019,ADMINISTRATION DRIVE,ASSAULT X2,No,Closed
Theft,201910250066-01,10/25/2019 - 7:00am,10/25/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"THEFT BY UNLAWFUL TAKING CONTROLLED SUBSTANCE UNDER $10,000; THEFT OF LEGEND DRUG 1ST OFFENSE OR VALUE UNDER $300",No,Open
Drug Violations,201910250031-01,10/25/2019 - 8:25am,10/25/2019,SPORTS CENTER DRIVE,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION OF BURGLARY TOOLS; CRIMINAL TRESPASSING 3RD DEGREE,No,Cleared By Arrest
Drug Violations,201910250045-01,10/25/2019 - 2:08pm,10/25/2019,109 WALLER AVENUE - UNIVERSITY INN,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION OF MARIJUANA,Yes,Closed
Drug Violations,201910250009-01,10/25/2019 - 1:03am,10/25/2019,SOUTH LIMESTONE STREET/PRALL STREET,DRUG PARAPHERNALIA-BUY/POSSESS; POSSESSION OF MARIJUANA; DISREGARDING TRAFFIC CONTROL DEVICE - TRAFFIC LIGHT,No,Citation issued
Drug Violations,201910250024-01,10/25/2019 - 5:19am,10/25/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,DRUG PARAPHERNALIA - BUY/POSSESS,No,Closed - CSA
Alcohol Intoxication,201910250025-01,10/25/2019 - 5:20am,10/25/2019,SOUTH LIMESTONE STREET/CONN TERRACE,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,No,Cleared By Arrest
Theft,201910260021-01,10/25/2019 - 2:00am,10/25/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING FROM BUILDING UNDER $500,No,Closed - CSA
Theft,201910250032-01,10/23/2019 - 5:00pm,10/25/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,"THEFT BY UNLAWFUL TAKING FROM BUILDING $500 OR MORE BUT UNDER $10,000",No,Open
Alcohol Intoxication,CSA20191213,09/08/2019 - 2:00am,10/25/2019,685 SPORTS CENTER DRIVE - WOODLAND GLEN III,ALCOHOL INTOXICATION X2,Yes,Closed - CSA
Liquor Law Violation,CSA20191207,10/24/2019 - 12:00am,10/25/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL,Yes,Closed - CSA
Liquor Law Violation,CSA20191206,10/24/2019 - 4:30pm,10/25/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL,Yes,Closed - CSA
Liquor Law Violation,CSA20191205,10/24/2019 - 10:10pm,10/25/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X3,Yes,Closed - CSA
Liquor Law Violation,CSA20191204,10/24/2019 - 10:25pm,10/25/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X4,Yes,Closed - CSA
Liquor Law Violation,CSA20191203,10/24/2019 - 11:00pm,10/25/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X4,Yes,Closed - CSA
Liquor Law Violation,CSA20191202,10/24/2019 - 11:15pm,10/25/2019,720 WOODLAND AVENUE - CHELLGREN HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X4,Yes,Closed - CSA
Liquor Law Violation,CSA20191201,10/24/2019 - 11:15pm,10/25/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X4,Yes,Closed - CSA
Liquor Law Violation,CSA20191200,10/24/2019 - 11:30pm,10/25/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X4,Yes,Closed - CSA
Liquor Law Violation,CSA20191199,10/25/2019 - 12:15pm,10/25/2019,361 HUGUELET DRIVE - DONOVAN HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X3,Yes,Closed - CSA
Terroristic Threatening,CSA20191193,10/25/2019 - 12:04pm,10/25/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING,No,Closed - CSA
Assault,201910240027-01,10/24/2019 - 4:18am,10/24/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,"ASSAULT, 4TH DEGREE NO VISIBLE INJURY",No,Open
Theft,201910240007-01,09/15/2019 - 8:00am,10/24/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,"THEFT BY UNLAWFUL TAKING FROM BUILDING $500 OR MORE BUT UNDER $10,000",No,Closed
Criminal Mischief,201910250035-01,10/24/2019 - 5:00pm,10/24/2019,807 SOUTH LIMESTONE STREET - COLLEGE OF MEDICINE LEARNING CENTER,CRIMINAL MISCHIEF 3RD DEGREE,No,Closed
Drug Violations,201910240082-01,10/24/2019 - 10:12pm,10/24/2019,111 AVENUE OF CHAMPIONS - HOLMES HALL,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION OF MARIJUANA,Yes,Citation issued
Theft,201910240037-01,10/24/2019 - 2:30am,10/24/2019,800 ROSE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING UNDER $500; FRAUD USE OF CREDIT CARD WITHIN 6 MONTH PERIOD,No,Open
Harassment,CSA20191208,10/24/2019 - 12:00am,10/24/2019,ON CAMPUS - UNSPECIFIED LOCATION,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
All Other Offenses,CSA20191192,10/24/2019 - 5:40pm,10/24/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,MENACING,No,Cleared By Arrest
Drug Violations,201910230002-01,10/23/2019 - 12:01am,10/23/2019,AVENUE OF CHAMPIONS/SOUTH LIMESTONE STREET,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION OF MARIJUANA; DISREGARDING TRAFFIC CONTROL DEVICE - TRAFFIC LIGHT,No,Citation issued
Theft,201910230074-01,10/23/2019 - 4:00pm,10/23/2019,454 COMPLEX DRIVE - BOONE TENNIS CENTER,THEFT BY UNLAWFUL TAKING FROM BUILDING UNDER $500,No,Open
Drug Violations,201910230086-01,10/23/2019 - 11:16pm,10/23/2019,500 ALUMNI DRIVE - ARBORETUM,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION OF MARIJUANA,No,Citation issued
Theft,201910230068-01,10/23/2019 - 2:00pm,10/23/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING FROM BUILDING UNDER $500,No,Closed
Theft,201910230059-01,10/23/2019 - 8:00am,10/23/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING FROM BUILDING UNDER $500,No,Closed
Assault,CSA20191191,10/23/2019 - 7:05pm,10/23/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Harassment,CSA20191190,10/23/2019 - 10:21am,10/23/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Alcohol Intoxication,201910220003-01,10/22/2019 - 12:43am,10/22/2019,EAST MAXWELL STREET NEAR ROSE STREET,ALCOHOL INTOXICATION,No,Closed
Alcohol Intoxication,201910220058-01,10/22/2019 - 5:10pm,10/22/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,"ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE; DISORDERLY CONDUCT, 2ND DEGREE",No,Cleared By Arrest
Assault,CSA20191189,10/22/2019 - 7:53pm,10/22/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20191188,10/22/2019 - 1:01pm,10/22/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20191187,10/22/2019 - 9:13am,10/22/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Drug Violations,201910210017-01,10/21/2019 - 5:10am,10/21/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,DRUG PARAPHERNALIA- BUY/POSSESS; VIOLATION OF A KENTUCKY EPO/DVO,No,Closed
Theft,201910210041-01,10/21/2019 - 8:30am,10/21/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING FROM BUILDING UNDER $500,No,Open
Liquor Law Violation,201910210038-01,10/21/2019 - 12:35pm,10/21/2019,"125 EAST MAXWELL STREET - GOOD SAMARITAN MEDICAL OFFICE BUILDING, OUTSIDE",DRINK ALCOHOLIC BEVERAGE IN A PUBLIC PLACE 1ST AND 2ND OFFENSE; CRIMINAL TRESPASSING 3RD DEGREE,No,Cleared By Arrest
Theft,201910120029-01,10/11/2019 - 1:30pm,10/21/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"THEFT OF PROPERTY LOST/MISLAID/DELIVERED BY MISTAKE $10,000 OR MORE",No,Closed
Harassing Communications,201910210058-01,10/19/2019 - 12:00pm,10/21/2019,326 SOUTH MARTIN LUTHER KING BOULEVARD - BLAZER,HARASSING COMMUNICATIONS,Yes,Closed
Harassment,CSA20191185,10/21/2019 - 4:03pm,10/21/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Assault,CSA20191184,10/21/2019 - 2:35pm,10/21/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
All Other Offenses,CSA20191183,10/21/2019 - 11:40am,10/21/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,MENACING,No,Closed - CSA
Harassment,CSA20191182,10/21/2019 - 7:30pm,10/21/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSING - NO PHYSICAL CONTACT,No,Closed - CSA
Criminal Mischief,CSA20191181,10/21/2019 - 6:54pm,10/21/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF,No,Closed - CSA
Theft,CSA20191186,10/21/2019 - 11:25am,10/21/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,THEFT BY UNLAWFUL TAKING,No,Closed - CSA
Disorderly Conduct,201910200059-01,10/20/2019 - 7:05pm,10/20/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,"DISORDERLY CONDUCT, 2ND DEGREE",No,Cleared By Arrest
Theft,201910190100-01,10/19/2019 - 1:30pm,10/19/2019,140 GRAHAM AVENUE - TERRELL CIVIL ENGINEERING BUILDING,THEFT BY UNLAWFUL TAKING UNDER $500,No,Open
Assault,CSA20191180,10/19/2019 - 9:00am,10/19/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Alcohol Intoxication,CSA20191177,10/19/2019 - 12:15am,10/19/2019,326 SOUTH MARTIN LUTHER KING BOULEVARD - BLAZER,ALCOHOL INTOXICATION,Yes,Closed - CSA
Alcohol Intoxication,201910180019,10/18/2019 - 3:25am,10/18/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,ALCOHOL INTOXICATION,Yes,Closed
Alcohol Intoxication,201910180006-01,10/18/2019 - 12:32am,10/18/2019,HOSPITAL DRIVE SIDEWALK AT UNIVERSITY DRIVE,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,No,Cleared By Arrest
Alcohol Intoxication,201910180020-01,10/18/2019 - 3:49am,10/18/2019,1101 SOUTH LIMESTONE STREET - UNUSED ADMINISTRATIVE BUILDING,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,No,Cleared By Arrest
Theft,201910180036-01,10/18/2019 - 9:06am,10/18/2019,"1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL, GIFT SHOPT",THEFT BY UNLAWFUL TAKING - SHOPLIFTING UNDER $500,No,Open
Alcohol Intoxication,201910180059-01,10/18/2019 - 9:05pm,10/18/2019,430 WEST VINE STREET - RUPP ARENA,ENDANGERING THE WELFARE OF A MINOR; ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,No,Cleared By Arrest
Harassment,201910180066-01,10/18/2019 - 4:50pm,10/18/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed
Sex Offenses,201910180008-01,10/17/2019 - 10:00pm,10/18/2019,ON CAMPUS - RESIDENCE HALL,"RAPE, 2ND DEGREE (MENTALLY INCAPACITATED)",Yes,Open
Harassment,CSA20191179,10/18/2019 - 4:45pm,10/18/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20191178,10/18/2019 - 12:00pm,10/18/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20191176,10/18/2019 - 4:47pm,10/18/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Sex Offenses,CSA20191175,10/18/2019 - 4:30pm,10/18/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,SEXUAL ABUSE,No,Closed - CSA
Theft,LPD201900196217,11/01/2018 - 12:00pm,10/18/2019,1410 AUDOBON AVENUE - DELTA TAU DELTA FRATERNITY,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT,No,Closed - Lexington Police Report
Assault,201910170085-01,10/17/2019 - 11:28pm,10/17/2019,111 AVENUE OF CHAMPIONS - HOLMES HALL,"ASSAULT, 4TH DEGREE MINOR INJURY",Yes,Closed
Theft,201910170068-01,10/17/2019 - 6:00pm,10/17/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,"THEFT BY UNLAWFUL TAKING ALL OTHERS $500 OR MORE BUT UNDER $10,000",No,Closed
Assault,201910170039-01,10/17/2019 - 1:03pm,10/17/2019,"460 COOPER DRIVE - BCTC CAMPUS, OSWALD BUILDING","ASSAULT, 4TH DEGREE MINOR INJURY",No,Citation issued
Harassment,CSA20191173,10/17/2019 - 12:30am,10/17/2019,318 COLLEGE VIEW AVENUE - WILDCAT COAL LODGE,HARASSMENT-PHYSICAL CONTACT-NO INJURY,Yes,Closed - CSA
Drug Violations,201910160004-01,10/16/2019 - 12:21am,10/16/2019,HUGUELET DRIVE/ROSE STREET,POSSESSION OF MARIJUANA,No,Closed
Theft,201910160005-01,09/06/2019 - 3:00pm,10/16/2019,"329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL, BIKE RACK",THEFT BY UNLAWFUL TAKING BICYCLES UNDER $500,No,Open
Harassment,CSA20191172,10/16/2019 - 12:24pm,10/16/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20191171,10/16/2019 - 9:43am,10/16/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20191170,10/16/2019 - 12:00am,10/16/2019,329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,Yes,Closed - CSA
Harassment,CSA20191169,10/16/2019 - 12:00am,10/16/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT X2,No,Closed - CSA
Harassment,CSA20191168,10/16/2019 - 4:45pm,10/16/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Terroristic Threatening,CSA20191167,10/16/2019 - 11:15pm,10/16/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING,No,Closed - CSA
Theft,CSA20191165,10/15/2019 - 7:00pm,10/16/2019,720 WOODLAND AVENUE - CHELLGREN HALL,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Drug Violations,201910150005-01,10/15/2019 - 12:20am,10/15/2019,325 HUGUELET DRIVE - HAGGIN HALL,POSSESSION OF MARIJUANA,Yes,Closed
Drug Violations,201910150030-01,10/15/2019 - 4:33am,10/15/2019,CONN TERRACE/ELIZABETH STREET,"POSSESSION CONTROLLED SUBSTANCE 1ST OFFENSE, DRUG UNSPECIFIED; FLEEING OR EVADING POLICE, 1ST DEGREE MOTOR VEHICLE; GIVING OFFICER FALSE IDENTIFYING INFORMATION; DISREGARD TRAFFIC REGULATION - 1ST OFFENSE; FAILURE TO PRODUCE INSURANCE CARD; FAILURE TO WEAR SEAT BELTS;  DISREGARDING TRAFFIC CONTROL DEVICE-TRAFFIC LIGHT; RECKLESS DRIVING; WANTON ENDANGERMENT - 1ST DEGREE POLICE OFFICER; NO REGISTRATION PLATES; FAILURE TO OR IMPROPER SIGNAL; DISPLAY OF ILLEGAL/ALTERED REGISTRATION PLATE",No,Open
Harassment,CSA20191160,10/15/2019 - 3:30am,10/15/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Drug Violations,201910150066-01,10/15/2019 - 4:40pm,10/15/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,PRESCRIPTION CONTROLLED SUBSTANCE NOT IN PROPER CONTAINER 1ST OFFENSE,No,Citation issued
Liquor Law Violation,CSA20191164,10/12/2019 - 10:15pm,10/15/2019,340 HILLTOP AVENUE - JOHNSON HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X7,Yes,Closed - CSA
Harassment,CSA20191163,10/14/2019 - 12:00am,10/15/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X3,No,Closed - CSA
Criminal Mischief,CSA20191162,10/15/2019 - 9:56am,10/15/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF,No,Closed - CSA
Sex Offenses,CSA20191166,10/07/2019 - 12:00am,10/15/2019,ON CAMPUS - RESIDENCE HALL,RAPE,Yes,Closed - CSA
Liquor Law Violation,CSA20191174,10/15/2019 - 5:15pm,10/15/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X2,No,Closed - CSA
DUI,201910140013-01,10/14/2019 - 1:51am,10/14/2019,"349 SCOTT STREET - REYNOLDS BUILDING #1, PARKING AREA",OPERATE MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/.08 1ST OFFENSE,No,Cleared By Arrest
Harassment,CSA20191156,10/14/2019 - 2:27pm,10/14/2019,FARM ROAD,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Theft,201910140094-01,10/14/2019 - 10:51pm,10/14/2019,430 COMPLEX DRIVE - JOHNSON CENTER,THEFT BY UNLAWFUL TAKING ALL OTHERS UNDER $500,No,Open
Theft,201910140061-01,10/14/2019 - 3:00pm,10/14/2019,160 AVENUE OF CHAMPIONS - STUDENT CENTER,THEFT BY UNLAWFUL TAKING FROM BUILDING UNDER $500,No,Closed
Assault,201910140090-01,10/14/2019 - 9:45pm,10/14/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"ASSAULT, 4TH DEGREE NO VISIBLE INJURY",No,Closed
Terroristic Threatening,201910140063-01,09/25/2019 - 8:00am,10/14/2019,ON CAMPUS - UNKNOWN LOCATIONS,"TERRORISTIC THREATENING, 3RD DEGREE; HARASSMENT NO PHYSICAL CONTACT",No,Open
Assault,201910140056-01,10/12/2019 - 5:00pm,10/14/2019,160 AVENUE OF CHAMPIONS - STUDENT CENTER,"ASSAULT, 4TH DEGREE MINOR INJURY",No,Closed
Terroristic Threatening,CSA20191161,10/12/2019 - 7:56pm,10/14/2019,111 AVENUE OF CHAMPIONS - HOLMES HALL,TERRORISTIC THREATENING,Yes,Closed - CSA
Alcohol Intoxication,LPD201900000N774279,10/14/2019 - 3:51pm,10/14/2019,325 SOUTH LIMESTONE STREET - ON SIDEWALK,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,No,Closed
Alcohol Intoxication,201910130013-01,10/13/2019 - 2:27am,10/13/2019,SOUTH LIMESTONE STREET/EAST MAXWELL STREET,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,No,Cleared By Arrest
DUI,201910130071-01,10/13/2019 - 10:58pm,10/13/2019,SOUTH LIMESTONE STREET/ADMINISTRATION DRIVE,"OPERATE MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC..08 (AGGRAVATED CIRCUMSTANCES), 2ND; DRIVING DUI SUSPENDED LICENSE - 2ND OFFENSE; CARELESS DRIVING",No,Cleared By Arrest
Burglary,201910130061-01,10/13/2019 - 8:57pm,10/13/2019,349 SCOTT STREET - REYNOLDS BUILDING #1,"BURGLARY, 3RD DEGREE; CRIMINAL MISCHIEF 3RD DEGREE",No,Closed
Assault,201910130013-02,10/13/2019 - 2:27am,10/13/2019,SOUTH LIMESTONE STREET/EAST MAXWELL STREET,"ASSAULT, 4TH DEGREE MINOR INJURY",No,Closed
Liquor Law Violation,201910130005-01,10/13/2019 - 12:47am,10/13/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON < 18 POSSESS/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X2,Yes,Closed
Assault,201910130004-01,10/13/2019 - 12:00am,10/13/2019,"326 SOUTH MARTIN LUTHER KING BOULEVARD - BLAZER, OUTSIDE","ASSAULT, 4TH DEGREE MINOR INJURY",No,Open
Theft,201910130003-01,10/13/2019 - 12:21am,10/13/2019,1540 UNIVERSITY DRIVE - BLUE LOT,"THEFT BY UNLAWFUL TAKING CONTENTS FROM VEHICLE $500 OR MORE BUT UNDER $10,000; FRAUD USE OF CREDIT CARD $500 <$10,000",No,Open
Theft,201910130046-01,10/05/2019 - 11:30pm,10/13/2019,"1120 UNIVERSITY DRIVE - LEWIS HALL, BIKE RACK","THEFT BY UNLAWFUL TAKING - BICYCLES $500 OR MORE BUT UNDER $10,000",No,Closed
Criminal Mischief,CSA20191159,10/13/2019 - 10:55pm,10/13/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF,No,Closed - CSA
Harassment,CSA20191157,10/13/2019 - 7:07pm,10/13/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Assault,CSA20191155,10/13/2019 - 5:56pm,10/13/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20191154,10/13/2019 - 5:35pm,10/13/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Terroristic Threatening,CSA2019151,10/13/2019 - 3:03pm,10/13/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING; MENACING,No,Closed - CSA
Liquor Law Violation,CSA20191146,10/12/2019 - 10:40am,10/13/2019,693 SPORTS CENTRER DRIVE- WOODLAND GLEN V,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X15,Yes,Closed - CSA
Drug Violations,201910120018-01,10/12/2019 - 2:14am,10/12/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,POSSESSION OF A CONTROLLED SUBSTANCE,No,Closed
Theft,201910120061-01,10/12/2019 - 10:00am,10/12/2019,1540 UNIVERSITY DRIVE - KROGER FIELD,"THEFT BY UNLAWFUL TAKING SHOPLIFTING UNDER $500; ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE; FLEEING OR EVADING POLICE, 2ND DEGREE ON FOOT",No,Citation issued
Drug Violations,201910120044-01,10/12/2019 - 7:30pm,10/12/2019,1540 UNIVERSITY DRIVE - KROGER FIELD,DRUG PARAPHERNALIA - BUY/POSSESS,No,Closed
Theft,201910130026-01,10/12/2019 - 7:30pm,10/12/2019,1540 UNIVERSITY DRIVE - BLUE LOT,THEFT BY UNLAWFUL TAKING CONTENTS FROM VEHICLE UNDER $500; FRAUD USE CREDIT CARD UNDER $500 WITHIN 6 MONTH PERIOD,No,Open
Criminal Mischief,CSA20191158,10/12/2019 - 3:56pm,10/12/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF,No,Closed - CSA
Liquor Law Violation,CSA20191147,10/12/2019 - 12:00am,10/12/2019,685 SPORTS CENTER DRIVE - WOODLAND GLEN III,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X6,Yes,Closed - CSA
